snomedcode,snomedcode_count,term,include,RM_16category,RM_5 category,notes,,2021 Census Categories,,,,,,,,,,,,,
270462008,241,Black East African Asian/Indo-Caribbean,1,Other Black,4,,,,,,,,,,,,,,,,
270465005,99,E Afric Asian/Indo-Carib (NMO),1,Other Black,4,,,,,,,,,,,,,,,,
275588005,94,Black Iranian,1,Other Black,4,,,,,,,,,,,,,,,,
9.78341E+14,90,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census",1,Other Black,4,,,,,,,,,,,,,,,,
9.78361E+14,89,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,1,Other Black,4,,,,,,,,,,,,,,,,
413466005,81,Afro-Caucasian,1,Other Black,4,,,,,,,,,,,,,,,,
275597009,63,Indo-Caribbean (NMO),1,Other Black,4,*or other Asian,,,,,,,,,,,,,,,
275590006,47,Black Indo-Caribbean,1,Other Black,4,,,,,,,,,,,,,,,,
8.9001E+13,44920,Arab - ethnic category 2001 census,1,Arab,5,,,,,,,,,,,,,,,,
9.4101E+13,3416,Moroccan - ethnic category 2001 census,1,Arab,5,,,,,,,,,,,,,,,,
90027003,2527,Arabs,1,Arab,5,,,,,,,,,,,,,,,,
270464009,1598,N African Arab/Iranian (NMO),1,Arab,5,,,,,,,,,,,,,,,,
275594002,1475,North African Arab (NMO),1,Arab,5,,,,,,,,,,,,,,,,
9.76951E+14,810,Other ethnic group: Arab - England and Wales ethnic category 2011 census,1,Arab,5,,,,,,,,,,,,,,,,
270461001,575,Black N African/Arab/Iranian,1,Arab,5,,,,,,,,,,,,,,,,
2.96841E+14,526,Yemeni,1,Arab,5,,,,,,,,,,,,,,,,
275587000,409,Black Arab,1,Arab,5,,,,,,,,,,,,,,,,
9.78381E+14,195,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",1,Arab,5,,,,,,,,,,,,,,,,
9.77851E+14,107,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census,1,Arab,5,,,,,,,,,,,,,,,,
9.2511E+13,162157,Chinese - ethnic category 2001 census,1,Chinese,5,,,,,,,,,,,,,,,,
33897005,39802,Chinese,1,Chinese,5,,,,,,,,,,,,,,,,
9.2611E+13,4258,Asian and Chinese - ethnic category 2001 census,1,Chinese,5,,,,,,,,,,,,,,,,
9.76851E+14,1168,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,1,Chinese,5,,,,,,,,,,,,,,,,
9.77751E+14,128,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,1,Chinese,5,,,,,,,,,,,,,,,,
9.78191E+14,37,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,1,Chinese,5,,,,,,,,,,,,,,,,
9.2521E+13,217997,Other - ethnic category 2001 census,1,Other,5,,,,,,,,,,,,,,,,
9.4151E+13,38201,Any other group - ethnic category 2001 census,1,Other,5,,,,,,,,,,,,,,,,
186005001,13788,Other ethnic non-mixed (NMO),1,Other,5,,,,,,,,,,,,,,,,
8.9031E+13,6556,Muslim - ethnic category 2001 census,1,Unknown,6,,,,,,,,,,,,,,,,
9.4121E+13,2065,Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census,1,Other,5,,,,,,,,,,,,,,,,
